filename,path,operationId,verb,response_object,tags,stackql_service_name,stackql_resource_name,stackql_method_name,stackql_verb
management-minimal.yaml,/api/v1/apps/{appId}/credentials/keys/generate,generateApplicationKey,post,JsonWebKey,ApplicationSSOCredentialKey,applications,keys,generate_application_key,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets,listOAuth2ClientSecrets,get,OAuth2ClientSecret,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,list_oauth2_client_secrets,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets,createOAuth2ClientSecret,post,OAuth2ClientSecret,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,create_oauth2_client_secret,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets/{secretId},getOAuth2ClientSecret,get,OAuth2ClientSecret,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,get_oauth2_client_secret,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets/{secretId},deleteOAuth2ClientSecret,delete,,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,delete_oauth2_client_secret,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets/{secretId}/lifecycle/activate,activateOAuth2ClientSecret,post,OAuth2ClientSecret,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,activate_oauth2_client_secret,
management-minimal.yaml,/api/v1/apps/{appId}/credentials/secrets/{secretId}/lifecycle/deactivate,deactivateOAuth2ClientSecret,post,OAuth2ClientSecret,ApplicationSSOCredentialOAuth2ClientAuth,applications,client_secrets,deactivate_oauth2_client_secret,
management-minimal.yaml,/api/v1/apps/{appId}/features,listFeaturesForApplication,get,ApplicationFeature,ApplicationFeatures,applications,features,list_features_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/features/{featureName},getFeatureForApplication,get,ApplicationFeature,ApplicationFeatures,applications,features,get_feature_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/features/{featureName},updateFeatureForApplication,put,ApplicationFeature,ApplicationFeatures,applications,features,update_feature_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/federated-claims,listFederatedClaims,get,FederatedClaim,ApplicationSSOFederatedClaims,applications,federated_claims,list_federated_claims,
management-minimal.yaml,/api/v1/apps/{appId}/federated-claims,createFederatedClaim,post,FederatedClaim,ApplicationSSOFederatedClaims,applications,federated_claims,create_federated_claim,
management-minimal.yaml,/api/v1/apps/{appId}/federated-claims/{claimId},getFederatedClaim,get,FederatedClaimRequestBody,ApplicationSSOFederatedClaims,applications,federated_claims,get_federated_claim,
management-minimal.yaml,/api/v1/apps/{appId}/federated-claims/{claimId},replaceFederatedClaim,put,FederatedClaim,ApplicationSSOFederatedClaims,applications,federated_claims,replace_federated_claim,
management-minimal.yaml,/api/v1/apps/{appId}/federated-claims/{claimId},deleteFederatedClaim,delete,,ApplicationSSOFederatedClaims,applications,federated_claims,delete_federated_claim,
management-minimal.yaml,/api/v1/apps/{appId}/grants,listScopeConsentGrants,get,OAuth2ScopeConsentGrant,ApplicationGrants,applications,grants,list_scope_consent_grants,
management-minimal.yaml,/api/v1/apps/{appId}/grants,grantConsentToScope,post,OAuth2ScopeConsentGrant,ApplicationGrants,applications,grants,grant_consent_to_scope,
management-minimal.yaml,/api/v1/apps/{appId}/grants/{grantId},getScopeConsentGrant,get,OAuth2ScopeConsentGrant,ApplicationGrants,applications,grants,get_scope_consent_grant,
management-minimal.yaml,/api/v1/apps/{appId}/grants/{grantId},revokeScopeConsentGrant,delete,,ApplicationGrants,applications,grants,revoke_scope_consent_grant,
management-minimal.yaml,/api/v1/apps/{appId}/groups,listApplicationGroupAssignments,get,ApplicationGroupAssignment,ApplicationGroups,applications,groups,list_application_group_assignments,
management-minimal.yaml,/api/v1/apps/{appId}/groups/{groupId},getApplicationGroupAssignment,get,ApplicationGroupAssignment,ApplicationGroups,applications,groups,get_application_group_assignment,
management-minimal.yaml,/api/v1/apps/{appId}/groups/{groupId},assignGroupToApplication,put,ApplicationGroupAssignment,ApplicationGroups,applications,groups,assign_group_to_application,
management-minimal.yaml,/api/v1/apps/{appId}/groups/{groupId},updateGroupAssignmentToApplication,patch,ApplicationGroupAssignment,ApplicationGroups,applications,groups,update_group_assignment_to_application,
management-minimal.yaml,/api/v1/apps/{appId}/groups/{groupId},unassignApplicationFromGroup,delete,,ApplicationGroups,applications,groups,unassign_application_from_group,
management-minimal.yaml,/api/v1/apps/{appId}/lifecycle/activate,activateApplication,post,,Application,applications,apps,activate_application,
management-minimal.yaml,/api/v1/apps/{appId}/lifecycle/deactivate,deactivateApplication,post,,Application,applications,apps,deactivate_application,
management-minimal.yaml,/api/v1/apps/{appId}/logo,uploadApplicationLogo,post,,ApplicationLogos,applications,apps,upload_application_logo,
management-minimal.yaml,/api/v1/apps/{appId}/policies/{policyId},assignApplicationPolicy,put,,ApplicationPolicies,applications,apps,assign_application_policy,
management-minimal.yaml,/api/v1/apps/{appId}/sso/saml/metadata,previewSAMLmetadataForApplication,get,,ApplicationSSO,applications,apps,preview_saml_metadata_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/tokens,listOAuth2TokensForApplication,get,OAuth2RefreshToken,ApplicationTokens,applications,tokens,list_oauth2_tokens_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/tokens,revokeOAuth2TokensForApplication,delete,,ApplicationTokens,applications,tokens,revoke_oauth2_tokens_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/tokens/{tokenId},getOAuth2TokenForApplication,get,OAuth2RefreshToken,ApplicationTokens,applications,tokens,get_oauth2_token_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/tokens/{tokenId},revokeOAuth2TokenForApplication,delete,,ApplicationTokens,applications,tokens,revoke_oauth2_token_for_application,
management-minimal.yaml,/api/v1/apps/{appId}/users,listApplicationUsers,get,AppUser,ApplicationUsers,applications,users,list_application_users,
management-minimal.yaml,/api/v1/apps/{appId}/users,assignUserToApplication,post,AppUser,ApplicationUsers,applications,users,assign_user_to_application,
management-minimal.yaml,/api/v1/apps/{appId}/users/{userId},getApplicationUser,get,AppUser,ApplicationUsers,applications,users,get_application_user,
management-minimal.yaml,/api/v1/apps/{appId}/users/{userId},updateApplicationUser,post,AppUser,ApplicationUsers,applications,users,update_application_user,
management-minimal.yaml,/api/v1/apps/{appId}/users/{userId},unassignUserFromApplication,delete,,ApplicationUsers,applications,users,unassign_user_from_application,
management-minimal.yaml,/api/v1/apps/{appName}/{appId}/oauth2/callback,verifyProvisioningConnectionForApplication,post,,ApplicationConnections,applications,connections,verify_provisioning_connection_for_application,
management-minimal.yaml,/api/v1/authenticators,listAuthenticators,get,AuthenticatorBase,Authenticator,authenticators,authenticators,list_authenticators,
management-minimal.yaml,/api/v1/authenticators,createAuthenticator,post,,Authenticator,authenticators,authenticators,create_authenticator,
